# semente=306; repeticoes=1000; rodadas=15 (+1 de aquecimento; tempo = mediana); unidade=segundos; opcoes=-std=c11 -O2 -Wall -Wextra -pedantic
# comparacao = uma avaliacao de v[i] == chave (um elemento central por iteracao na binaria)
tipo,n,posicao,chave,indice_sequencial,indice_binario,execucao1_s,execucao2_s,execucao3_s,execucao4_s,tempo_sequencial_s,tempo_binaria_s,ordenado,comparacoes_sequencial,comparacoes_binaria,seq_min_s,seq_max_s,bin_min_s,bin_max_s
GERACAO,100000,,,,,0.002504000,0.002306000,0.002420000,0.002291000,0.002380250,,,,,,,,
ORDENACAO,100000,,,,,0.018638000,0.014248000,0.015649000,0.012574000,0.015277250,,1,,,,,,
BUSCA,100000,Inicio,32200,0,0,,,,,0.000000003,0.000000023,,1,16,0.000000003,0.000000004,0.000000023,0.000000024
BUSCA,100000,25%,532594372,25000,25000,,,,,0.000016837,0.000000023,,25001,16,0.000016256,0.000019473,0.000000022,0.000000023
BUSCA,100000,Centro,1069883401,50000,50000,,,,,0.000035468,0.000000027,,50001,16,0.000032667,0.000043963,0.000000023,0.000000036
BUSCA,100000,75%,1609386728,75000,75000,,,,,0.000051707,0.000000037,,75001,16,0.000048978,0.000076655,0.000000033,0.000000054
BUSCA,100000,Final,2147447512,99999,99999,,,,,0.000065987,0.000000024,,100000,17,0.000065117,0.000093962,0.000000024,0.000000024
BUSCA,100000,Ausente_menor,-2147483648,-1,-1,,,,,0.000067486,0.000000022,,100000,16,0.000064075,0.000077896,0.000000022,0.000000023
BUSCA,100000,Ausente_meio,1069883402,-1,-1,,,,,0.000065999,0.000000025,,100000,17,0.000062772,0.000091409,0.000000024,0.000000034
BUSCA,100000,Ausente_maior,2147483647,-1,-1,,,,,0.000068585,0.000000025,,100000,17,0.000064913,0.000074764,0.000000024,0.000000026
GERACAO,200000,,,,,0.003825000,0.003633000,0.003555000,0.003574000,0.003646750,,,,,,,,
ORDENACAO,200000,,,,,0.027589000,0.025548000,0.025783000,0.025071000,0.025997750,,1,,,,,,
BUSCA,200000,Inicio,6234,0,0,,,,,0.000000003,0.000000024,,1,17,0.000000003,0.000000004,0.000000024,0.000000024
BUSCA,200000,25%,534901521,50000,50000,,,,,0.000032700,0.000000023,,50001,17,0.000031906,0.000038660,0.000000023,0.000000030
BUSCA,200000,Centro,1072878218,100000,100000,,,,,0.000063717,0.000000023,,100001,17,0.000061798,0.000064843,0.000000023,0.000000024
BUSCA,200000,75%,1610883184,150000,150000,,,,,0.000093575,0.000000022,,150001,17,0.000090083,0.000110077,0.000000021,0.000000022
BUSCA,200000,Final,2147476823,199999,199999,,,,,0.000136302,0.000000026,,200000,18,0.000121760,0.000164504,0.000000026,0.000000031
BUSCA,200000,Ausente_menor,-2147483648,-1,-1,,,,,0.000132356,0.000000025,,200000,17,0.000121795,0.000146081,0.000000024,0.000000032
BUSCA,200000,Ausente_meio,1072878219,-1,-1,,,,,0.000130700,0.000000026,,200000,18,0.000120515,0.000147064,0.000000026,0.000000030
BUSCA,200000,Ausente_maior,2147483647,-1,-1,,,,,0.000126229,0.000000025,,200000,18,0.000122930,0.000132950,0.000000024,0.000000028
GERACAO,300000,,,,,0.005950000,0.005314000,0.005335000,0.005869000,0.005617000,,,,,,,,
ORDENACAO,300000,,,,,0.039106000,0.039112000,0.045026000,0.044971000,0.042053750,,1,,,,,,
BUSCA,300000,Inicio,6234,0,0,,,,,0.000000003,0.000000026,,1,18,0.000000003,0.000000004,0.000000025,0.000000030
BUSCA,300000,25%,534543972,75000,75000,,,,,0.000046832,0.000000026,,75001,18,0.000046340,0.000053799,0.000000026,0.000000027
BUSCA,300000,Centro,1072080939,150000,150000,,,,,0.000091862,0.000000025,,150001,18,0.000089779,0.000124023,0.000000024,0.000000032
BUSCA,300000,75%,1609810760,225000,225000,,,,,0.000139187,0.000000029,,225001,18,0.000135272,0.000154573,0.000000028,0.000000032
BUSCA,300000,Final,2147476823,299999,299999,,,,,0.000184354,0.000000026,,300000,19,0.000179121,0.000192374,0.000000026,0.000000034
BUSCA,300000,Ausente_menor,-2147483648,-1,-1,,,,,0.000181421,0.000000024,,300000,18,0.000179130,0.000195265,0.000000023,0.000000024
BUSCA,300000,Ausente_meio,1072080940,-1,-1,,,,,0.000180553,0.000000024,,300000,18,0.000179504,0.000192434,0.000000023,0.000000024
BUSCA,300000,Ausente_maior,2147483647,-1,-1,,,,,0.000181554,0.000000026,,300000,19,0.000178690,0.000201368,0.000000026,0.000000027
GERACAO,500000,,,,,0.009134000,0.009795000,0.008935000,0.009487000,0.009337750,,,,,,,,
ORDENACAO,500000,,,,,0.073952000,0.072571000,0.067174000,0.066243000,0.069985000,,1,,,,,,
BUSCA,500000,Inicio,890,0,0,,,,,0.000000003,0.000000030,,1,18,0.000000003,0.000000005,0.000000024,0.000000040
BUSCA,500000,25%,535481137,125000,125000,,,,,0.000076397,0.000000023,,125001,18,0.000074557,0.000083511,0.000000023,0.000000024
BUSCA,500000,Centro,1073290485,250000,250000,,,,,0.000151800,0.000000023,,250001,18,0.000149098,0.000186947,0.000000023,0.000000026
BUSCA,500000,75%,1609606910,375000,375000,,,,,0.000225733,0.000000023,,375001,18,0.000224132,0.000236902,0.000000023,0.000000024
BUSCA,500000,Final,2147480926,499999,499999,,,,,0.000307491,0.000000025,,500000,19,0.000301648,0.000334490,0.000000024,0.000000031
BUSCA,500000,Ausente_menor,-2147483648,-1,-1,,,,,0.000344578,0.000000026,,500000,18,0.000320658,0.000401561,0.000000026,0.000000039
BUSCA,500000,Ausente_meio,1073290486,-1,-1,,,,,0.000333553,0.000000027,,500000,19,0.000319991,0.000383859,0.000000026,0.000000027
BUSCA,500000,Ausente_maior,2147483647,-1,-1,,,,,0.000326296,0.000000027,,500000,19,0.000303197,0.000373028,0.000000026,0.000000027
