N	Posicao	Chave	Indice seq.	Indice bin.	T seq. (us)	T bin. (ns)	Comp. seq.	Comp. bin.
100000	Inicio	32200	0	0	0.003	23	1	16
100000	25%	532594372	25000	25000	16.837	23	25001	16
100000	Centro	1069883401	50000	50000	35.468	27	50001	16
100000	75%	1609386728	75000	75000	51.707	37	75001	16
100000	Final	2147447512	99999	99999	65.987	24	100000	17
200000	Inicio	6234	0	0	0.003	24	1	17
200000	25%	534901521	50000	50000	32.700	23	50001	17
200000	Centro	1072878218	100000	100000	63.717	23	100001	17
200000	75%	1610883184	150000	150000	93.575	22	150001	17
200000	Final	2147476823	199999	199999	136.302	26	200000	18
300000	Inicio	6234	0	0	0.003	26	1	18
300000	25%	534543972	75000	75000	46.832	26	75001	18
300000	Centro	1072080939	150000	150000	91.862	25	150001	18
300000	75%	1609810760	225000	225000	139.187	29	225001	18
300000	Final	2147476823	299999	299999	184.354	26	300000	19
